date,US
9/4/2014,15.35894383
9/5/2014,15.42136969
9/6/2014,14.98780335
9/7/2014,15.44039298
9/8/2014,16.05046576
9/9/2014,17.55998622
9/10/2014,17.86027218
9/11/2014,18.35755917
9/12/2014,18.22103096
9/13/2014,17.21134874
9/14/2014,17.12152622
9/15/2014,16.8804863
9/16/2014,17.17764076
9/17/2014,18.24399307
9/18/2014,18.99149079
9/19/2014,19.48074971
9/20/2014,20.14012214
9/21/2014,19.95202521
9/22/2014,19.96143699
9/23/2014,20.223203
9/24/2014,20.40165956
9/25/2014,20.5240729
9/26/2014,20.40495468
9/27/2014,19.47147723
9/28/2014,18.42886366
9/29/2014,18.53527086
9/30/2014,17.49298863
10/1/2014,18.63066039
10/2/2014,19.70375206
10/3/2014,20.34362519
10/4/2014,21.82778289
10/5/2014,22.15552994
10/6/2014,22.90023083
10/7/2014,23.07238793
10/8/2014,24.51462978
10/9/2014,25.03043023
10/10/2014,25.0251847
10/11/2014,24.73099421
10/19/2014,23.96623057
10/20/2014,24.99003701
10/21/2014,25.72964651
10/22/2014,26.37394827
10/23/2014,26.50922669
10/24/2014,25.56858924
10/25/2014,24.49259146
10/26/2014,23.57058795
10/27/2014,24.13522325
10/28/2014,23.99231549
10/29/2014,24.40312262
10/30/2014,25.07957583
10/31/2014,24.31366067
11/1/2014,23.94390833
11/2/2014,23.03319359
11/3/2014,22.62724906
11/4/2014,23.37141786
11/5/2014,23.99744645
11/6/2014,24.65501452
11/7/2014,24.17378127
11/8/2014,23.11902694
11/9/2014,22.13972984
11/10/2014,22.44436634
11/11/2014,22.87890613
11/12/2014,23.27247663
11/13/2014,23.64726441
11/14/2014,22.73823789
11/15/2014,21.9103805
11/16/2014,21.6570795
11/17/2014,22.1649792
11/18/2014,22.64880388
11/19/2014,23.84287891
11/20/2014,23.47537795
11/21/2014,23.01012419
11/22/2014,22.55461464
11/23/2014,22.02006068
11/24/2014,23.32161872
11/25/2014,24.47620623
11/26/2014,25.18513879
11/27/2014,24.95427931
11/28/2014,23.78626415
